ID,C.P.,Dirección,Horario,Latitud,Localidad,Longitud (WGS84),Margen,Municipio,Precio Biodiesel,Precio Bioetanol,Precio Gas Natural Comprimido,Precio Gas Natural Licuado,Precio Gases licuados del petróleo,Precio Gasoleo A,Precio Gasoleo B,Precio Gasoleo Premium,Precio Gasolina 95 E10,Precio Gasolina 95 E5,Precio Gasolina 95 E5 Premium,Precio Gasolina 98 E10,Precio Gasolina 98 E5,Precio Hidrogeno,Provincia,Remisión,Rótulo,Tipo Venta,% BioEtanol,% Éster metílico,IDEESS,IDMunicipio,IDProvincia,IDCCAA
0,07730,"CARRETERA ME721 KM. 7,200",L: 07:00-21:00,"39,908333",ALAIOR,"4,186722",D,Alaior,,,,,,"1,479",,,,"1,609",,,,,BALEARS (ILLES),dm,CEPSA,P,"0,0","0,0",2590,794,07,04
1,07730,"CALLE BALMES, 55",L: 07:00-22:00,"39,931667",ALAIOR,"4,136528",D,Alaior,,,,,,"1,469",,,,"1,589",,,,,BALEARS (ILLES),dm,CEPSA,P,"0,0","0,0",2669,794,07,04
2,07730,CARRETERA COMARCAL 721 KM. 7200,L-D: 06:00-23:00,"39,908361",ALAIOR,"4,186722",I,Alaior,,,,,,"1,479",,,,"1,609",,,,,BALEARS (ILLES),dm,CEPSA,P,"0,0","0,0",2591,794,07,04
3,07760,"CALLE FERRERS, 1",L-D: 24H,"40,005611",CIUTADELLA DE MENORCA,"3,853444",D,Ciutadella de Menorca,,,,,,"1,439",,,,"1,549",,,,,BALEARS (ILLES),dm,GALP,P,"0,0","0,0",13041,810,07,04
4,07760,"AUTOVIA CTRA. MAHON - CIUDADELA KM. 43,9",L-D: 06:00-22:00,"40,004639",CIUTADELLA DE MENORCA,"3,850583",D,Ciutadella de Menorca,,,,,,"1,449",,"1,539",,"1,559",,,,,BALEARS (ILLES),dm,BP,P,"0,0","0,0",2667,810,07,04
5,07760,"CALLE FERRERS, 12",L-D: 24H,"40,007139",CIUTADELLA DE MENORCA,"3,853361",D,Ciutadella de Menorca,,,,,,"1,409",,"1,439",,"1,519",,,,,BALEARS (ILLES),dm,AUTONETOIL,P,"0,0","0,0",13088,810,07,04
6,07760,"CALLE PINTOR TORRENT, 10",L-D: 06:00-22:00,"40,007833",CIUTADELLA DE MENORCA,"3,833056",D,Ciutadella de Menorca,,,,,"0,789","1,449",,,,"1,569",,,,,BALEARS (ILLES),OM,REPSOL,P,"0,0","0,0",2569,810,07,04
7,07760,"CALLE CAUTIVOS DE CONSTANTINIPLA, S/N",L-D: 06:00-22:00,"40,001389",CIUTADELLA DE MENORCA,"3,843556",D,Ciutadella de Menorca,,,,,,"1,445",,,,"1,559",,,,,BALEARS (ILLES),dm,CEPSA,P,"0,0","0,0",2668,810,07,04
8,07720,"PLAZA SON VILAR, 14",L-D: 24H,"39,882944",SON VILAR,"4,279500",N,Castell (Es),,,,,,"1,419",,,,"1,529",,,,,BALEARS (ILLES),dm,GALP,P,"0,0","0,0",13582,809,07,04
9,07750,"CALLE DELS TEULERS, 2",L-D: 07:00-22:00,"39,987750",FERRERIES,"4,020917",D,Ferreries,,,,,,"1,479",,,,"1,609",,,,,BALEARS (ILLES),dm,E.S. FERRERIES,P,"0,0","0,0",2605,819,07,04
